feature,kind,cardinality,minimum,maximum,rng,mean,std,median,skewness,pct_outlier,pct_zero
id,numeric,257673,1.0,257673.0,257672.0,128837.0,74383.93229387648,128837.0,0.0,0.0,0.0
dur,numeric,109945,0.0,59.999989,59.999989,1.2467150990092093,5.9743054045439274,0.004285,8.02249447825623,8.381553364147582,1.3998362265351822
spkts,numeric,646,1.0,10646.0,10645.0,19.777143899438435,135.9471522771517,4.0,42.52189801886267,13.533043819104059,0.0
dpkts,numeric,627,0.0,11018.0,11018.0,18.51470274339958,111.98596523102219,2.0,41.19277576907087,11.540596026747078,46.682423071101745
sbytes,numeric,9382,24.0,14355774.0,14355750.0,8572.951803254513,173773.88060490353,528.0,47.91717356458313,12.482487493839091,0.0
dbytes,numeric,8653,0.0,14657531.0,14657531.0,14387.287542738277,146199.2819383799,178.0,44.340233339483795,15.532865298265632,46.682423071101745
rate,numeric,115763,0.0,1000000.003,1000000.003,91253.91244024508,160344.6366932668,2955.664893,3.3804880483126514,9.135997950891246,1.539936275822457
sttl,numeric,13,0.0,255.0,255.0,180.00093141307005,102.4882680176242,254.0,-0.6821667701808442,0.0,1.633853760386226
dttl,numeric,9,0.0,254.0,254.0,84.7549568639322,112.7621313462377,29.0,0.7872490033788122,0.0,46.7410244767593
sload,numeric,121356,0.0,5988000256.0,5988000256.0,70608691.22821736,185731252.8417317,743942.3125,8.933305790637524,8.55114816065323,1.5430409860559702
dload,numeric,116380,0.0,22422730.0,22422730.0,658214.2824903154,2412372.1381670847,1747.441284,4.710772597419962,22.33683777500941,46.68824440278958
sloss,numeric,490,0.0,5319.0,5319.0,4.889317080175261,65.57495337938032,0.0,47.120681527469415,6.584314227722734,52.30194859376031
dloss,numeric,476,0.0,5507.0,5507.0,6.7436906466723325,53.7022219922424,0.0,46.08632554342893,15.391600982640789,53.494545412208495
sinpkt,numeric,114318,0.0,84371.496,84371.496,912.3008341995591,6922.153239419039,0.381696,8.287950205256559,7.885575904343877,0.30348542532589756
dinpkt,numeric,110270,0.0,57739.24,57739.24,98.915461567933,1094.0486911895323,0.007,26.965311243225674,6.825705448378371,46.690184846685526
sjit,numeric,117101,0.0,1483830.917,1483830.917,5419.372970333271,49034.49643796432,0.673637,16.86454616228511,9.132893240657733,49.3431597412224
djit,numeric,114861,0.0,463199.2401,463199.2401,582.2514561381402,3930.15336868831,0.0,37.49641195039963,11.258455484276583,52.50647138039298
swin,numeric,22,0.0,255.0,255.0,121.7536606474097,127.36744261798214,0.0,0.09023352101333373,0.0,52.24916851979059
stcpb,numeric,114473,0.0,4294958913.0,4294958913.0,1006120340.1778029,1367794569.6251194,0.0,1.0264459272088813,0.0,53.217450023867464
dtcpb,numeric,114187,0.0,4294881924.0,4294881924.0,1002295002.1407249,1363877092.4208252,0.0,1.0310269674575048,0.0,53.224823710672055
dwin,numeric,19,0.0,255.0,255.0,119.25462892891377,127.23047696692491,0.0,0.12961977625815796,0.0,53.22909268724313
tcprtt,numeric,63878,0.0,3.821465,3.821465,0.046038096482751395,0.09290833731300241,0.0,7.43469649910617,4.828600590671122,53.3338766576242
synack,numeric,57366,0.0,3.226788,3.226788,0.02365186096331397,0.05385636726164227,0.0,12.215820950028364,8.276769393766518,53.3338766576242
ackdat,numeric,53248,0.0,2.928778,2.928778,0.022386235519437428,0.04577063321822746,0.0,8.073877786865419,3.320875683521362,53.34707167611663
smean,numeric,1377,24.0,1504.0,1480.0,137.6390269838128,205.90111770732503,73.0,3.6665926777362943,12.672262906862574,0.0
dmean,numeric,1362,0.0,1500.0,1500.0,121.64970330612832,254.04101321400012,44.0,2.9101094615068512,12.880278492507946,46.682423071101745
trans_depth,numeric,14,0.0,172.0,172.0,0.1022419888773756,0.7105927643597819,0.0,173.16299373427134,,90.134007055454
response_body_len,numeric,2819,0.0,6558056.0,6558056.0,1968.900121471788,49625.23372487006,0.0,78.47727936491106,,93.42150710396511
ct_srv_src,numeric,57,1.0,63.0,62.0,9.383175575244593,10.829705811017572,5.0,1.6376144363322158,10.892875854280426,0.0
ct_state_ttl,numeric,7,0.0,6.0,6.0,1.3249777819173914,0.9922997691031127,1.0,1.177030913524409,1.460378076088686,22.445502633182368
ct_dst_ltm,numeric,52,1.0,59.0,58.0,6.050467064845754,8.173749214246516,2.0,2.261505805572663,16.45030717226873,0.0
ct_src_dport_ltm,numeric,52,1.0,59.0,58.0,5.2382709868709565,8.1608218899091,1.0,2.405159600734804,19.021783423175886,0.0
ct_dst_sport_ltm,numeric,35,1.0,46.0,45.0,4.032677075207724,5.831515225173218,1.0,1.9593674670060115,18.722955063200256,0.0
ct_dst_src_ltm,numeric,58,1.0,65.0,64.0,8.3229636011534,11.120754470653859,3.0,1.762238581131331,16.85042670361272,0.0
is_ftp_login,numeric,4,0.0,4.0,4.0,0.012818572376616875,0.11609072785399187,0.0,10.390703336332349,,98.74065191153129
ct_ftp_cmd,numeric,4,0.0,4.0,4.0,0.012849619478952004,0.11642112447774382,0.0,10.408023992510344,,98.73987573397291
ct_flw_http_mthd,numeric,11,0.0,30.0,30.0,0.13200451735338975,0.6818536452907503,0.0,20.653962430976087,,90.13478323301239
ct_src_ltm,numeric,52,1.0,60.0,59.0,6.800045018298386,8.396266203511304,3.0,2.0388311554539698,10.941775040458255,0.0
ct_srv_dst,numeric,57,1.0,62.0,61.0,9.12104877111688,10.874751841138126,4.0,1.6562092630625966,13.213646753831407,0.0
is_sm_ips_ports,numeric,2,0.0,1.0,1.0,0.014273905298576103,0.11861793933057119,0.0,8.189821330042998,,98.5726094701424
proto,nominal,133,,,,,,,,,
state,nominal,11,,,,,,,,,
service,nominal,13,,,,,,,,,
