class,ceiling_resubstitution,ceiling_memorisation_cv,ceiling_gifted_cv
Normal,0.996450072770823,0.7536274382797045,0.99457364639067
Reconnaissance,0.9136537643555934,0.4069118377962736,0.9102158009017718
Backdoor,0.2646950092421442,0.0033272631871354057,0.24635496222549952
DoS,0.5390328937395786,0.23011153107902732,0.43780093715261675
Exploits,0.812474462695105,0.3752429204573927,0.781519795885073
Analysis,0.3745068285280729,0.15588838369481692,0.3740120463134201
Fuzzers,0.9239130434782609,0.20167171182666568,0.8957472928746706
Worms,0.9565217391304347,0.013333333333333336,0.9422555962555963
Shellcode,0.9963612305656633,0.0660533034518519,0.9973567771219966
Generic,0.9967888384453548,0.9746257541763386,0.9965015194121374
