,Normal,Reconnaissance,Backdoor,DoS,Exploits,Analysis,Fuzzers,Worms,Shellcode,Generic
Normal,56747,23,6,119,741,710,11238,10,153,3
Reconnaissance,80,7845,17,1595,886,7,26,12,19,3
Backdoor,1,13,174,1158,76,295,14,4,11,1
DoS,56,47,18,9878,1655,340,120,20,116,15
Exploits,217,417,51,12088,18904,709,582,164,221,41
Analysis,148,0,0,1253,55,545,6,1,0,0
Fuzzers,2313,9,7,1445,454,630,13145,21,160,1
Worms,1,0,1,5,17,0,2,101,1,2
Shellcode,47,11,3,32,110,0,97,0,833,0
Generic,13,6,14,386,475,2,73,14,26,43144
