,Normal,Reconnaissance,Backdoor,DoS,Exploits,Analysis,Fuzzers,Worms,Shellcode,Generic
Normal,52026,31,10,78,667,2272,14209,10,443,4
Reconnaissance,7,8424,97,1509,260,16,84,12,78,3
Backdoor,1,16,465,1111,61,56,10,4,21,2
DoS,26,100,687,9563,1371,130,144,20,193,31
Exploits,61,1286,1184,11587,17509,339,663,164,518,83
Analysis,6,0,309,1198,38,453,3,1,0,0
Fuzzers,757,26,672,1349,260,102,14525,21,457,16
Worms,0,1,1,5,16,0,3,101,1,2
Shellcode,16,14,4,8,18,0,68,0,1003,2
Generic,2,7,36,363,390,7,94,14,48,43192
