,Normal,Reconnaissance,Backdoor,DoS,Exploits,Analysis,Fuzzers,Worms,Shellcode,Generic
Normal,53613,198,21,107,656,889,13598,27,629,12
Reconnaissance,60,8290,115,1500,303,16,110,19,74,3
Backdoor,2,20,435,1093,53,93,21,5,23,2
DoS,36,101,785,9276,1471,166,153,33,225,19
Exploits,185,1178,1191,11359,17350,347,669,402,630,83
Analysis,132,1,305,1152,57,355,6,0,0,0
Fuzzers,863,81,601,1340,216,153,14420,52,449,10
Worms,0,3,1,6,26,0,6,82,5,1
Shellcode,8,17,2,17,29,0,86,12,961,1
Generic,13,5,33,393,339,8,69,64,84,43145
