configuration,fold,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,mcc,kappa,train_accuracy,train_balanced_accuracy,fit_seconds,predict_seconds,recall_Normal,precision_Normal,recall_Reconnaissance,precision_Reconnaissance,recall_Backdoor,precision_Backdoor,recall_DoS,precision_DoS,recall_Exploits,precision_Exploits,recall_Analysis,precision_Analysis,recall_Fuzzers,precision_Fuzzers,recall_Worms,precision_Worms,recall_Shellcode,precision_Shellcode,recall_Generic,precision_Generic
tree,1,0.764462382282935,0.6906425193656887,0.5788483759680931,0.7852293561977021,0.5533543285182241,0.6906425193656887,0.7159151162976465,0.7067894927791424,0.7827,0.7292858066232681,5.667535994999525,0.022558985999239667,0.7588530465949821,0.9771091009784013,0.792183031458532,0.8719832109129066,0.2857142857142857,0.14534883720930233,0.7805872756933115,0.35405105438401774,0.517065868263473,0.8420282788883472,0.24378109452736318,0.14540059347181009,0.7805280528052805,0.49841938883034775,0.8461538461538461,0.3548387096774194,0.9203539823008849,0.3466666666666667,0.9812047101449275,0.997697444163021
tree,2,0.7659629514643486,0.6716387568456124,0.583321879053793,0.7870334372067063,0.5594708205185747,0.6716387568456124,0.7179048330591071,0.7088099562009509,0.7789,0.7421099353296478,4.797755004000464,0.02507969700036483,0.7541218637992831,0.9817095931317655,0.8160152526215443,0.8500496524329693,0.2571428571428571,0.1323529411764706,0.763458401305057,0.36041586445899115,0.5365269461077844,0.8448844884488449,0.22885572139303484,0.13142857142857142,0.8008800880088008,0.49122807017543857,0.7692307692307693,0.43478260869565216,0.8141592920353983,0.36947791164658633,0.9759963768115942,0.9983785035904563
tree,3,0.7601676497981993,0.6786985247087174,0.5773675030099408,0.7809543040993648,0.5535885535250096,0.6786985247087174,0.7125736950309972,0.7021673150662419,0.7661,0.732605129562206,4.538490607000313,0.019239874000049895,0.7475268817204301,0.9828463713477851,0.8160152526215443,0.8286544046466602,0.22285714285714286,0.12380952380952381,0.7716150081566069,0.3494643516808275,0.5034441449535789,0.862051282051282,0.265,0.15868263473053892,0.8108851017042331,0.4799869834038399,0.7692307692307693,0.35714285714285715,0.9035087719298246,0.3946360153256705,0.9769021739130435,0.9986111111111111
tree,4,0.7694815274759391,0.6899623865866069,0.5705078976413458,0.7912911657461921,0.5439425200019876,0.6899623865866069,0.7217438561305517,0.7131456788335997,0.7749,0.7301593169244924,5.000530712,0.022910214999683376,0.7552688172043011,0.9815539407490218,0.8245948522402288,0.8790650406504065,0.2571428571428571,0.13392857142857142,0.7709861450692747,0.36638264910921764,0.5555555555555556,0.8509174311926605,0.25,0.13440860215053763,0.7757009345794392,0.49683098591549296,0.8461538461538461,0.2558139534883721,0.8859649122807017,0.3423728813559322,0.9782559456398641,0.9981511439796625
tree,5,0.7552002483700714,0.6466378226196424,0.5469885659018208,0.777812289313434,0.5289285041368392,0.6466378226196424,0.7082550506876765,0.6970933863619615,0.7633,0.7202043144743123,5.0051551259994085,0.02005587599978753,0.7225806451612903,0.994475138121547,0.7998093422306959,0.8474747474747475,0.2471264367816092,0.1184573002754821,0.7856560717196414,0.35943325876211785,0.5220125786163522,0.8457059679767104,0.208955223880597,0.12103746397694524,0.8180318856514568,0.47313195548489667,0.46153846153846156,0.16666666666666666,0.9210526315789473,0.3684210526315789,0.9796149490373726,0.9944814899977006
tree,6,0.7576714100905563,0.6689011152896147,0.5566448004030615,0.7793367935982697,0.5353707687193467,0.6689011152896147,0.7087914481918207,0.6989676465822048,0.7742,0.7303670161353341,5.661155300999781,0.01998567099963111,0.739068100358423,0.9766957180750284,0.7855100095328885,0.8547717842323651,0.2413793103448276,0.116991643454039,0.7921760391198044,0.357484369253402,0.527403414195867,0.8417782026768642,0.208955223880597,0.14093959731543623,0.7795492028587135,0.4755197853789403,0.7692307692307693,0.2127659574468085,0.8672566371681416,0.3783783783783784,0.9784824462061155,0.9983822509822048
tree,7,0.7666752910737387,0.698311594750484,0.5788832454440873,0.7874300434643241,0.5510692212937294,0.698311594750484,0.719308082366237,0.709898702651659,0.7704,0.731268573302666,5.300417864999872,0.020748867000293103,0.7532616487455197,0.9850018747656543,0.8045757864632984,0.8398009950248756,0.3448275862068966,0.1518987341772152,0.7750611246943765,0.356981981981982,0.5280023959269242,0.8570734078755469,0.23383084577114427,0.14826498422712933,0.7949422759758109,0.501734906315059,0.8461538461538461,0.28205128205128205,0.9203539823008849,0.39543726235741444,0.9821064552661382,0.9924467841611353
tree,8,0.7651228978007762,0.6819178430142249,0.5800494226578786,0.7866189546912697,0.5551806255044822,0.6819178430142249,0.7178215229587376,0.7081989054486799,0.7768,0.7342732378897016,5.251223731000209,0.019801735999863013,0.7466666666666667,0.9854304635761589,0.7940896091515729,0.8578784757981462,0.3028571428571429,0.16987179487179488,0.7905460472697636,0.36221060492905155,0.5414794848757113,0.844465203176086,0.208955223880597,0.11731843575418995,0.8080308030803081,0.49477938699898955,0.7692307692307693,0.37037037037037035,0.8849557522123894,0.3508771929824561,0.9723669309173273,0.9986043265875785
tree,9,0.7635187580853816,0.6749529293063599,0.5638891597704365,0.7842918504588092,0.5402083003199268,0.6749529293063599,0.7150360177103818,0.705778678950108,0.7743,0.7258139997472607,4.9009906869996485,0.041429504000007,0.7548387096774194,0.9786245353159851,0.792183031458532,0.8470948012232415,0.26857142857142857,0.13823529411764707,0.7773246329526917,0.35975839939599846,0.5224550898203593,0.8495618305744888,0.208955223880597,0.12883435582822086,0.7920792079207921,0.49163537043359506,0.7692307692307693,0.2702702702702703,0.8849557522123894,0.3412969283276451,0.9789354473386184,0.9967712177121771
tree,10,0.7517723156532988,0.6822188780764893,0.5643489358269281,0.7740145408412702,0.5423858587765789,0.6822188780764893,0.7048844103838506,0.6929499276098068,0.7604,0.7271278478945222,5.935855838999487,0.023730378999971435,0.7267383512544803,0.9919765166340508,0.8055290753098189,0.8308751229105211,0.2342857142857143,0.11357340720221606,0.7895595432300163,0.34695340501792116,0.48922155688622754,0.8677642060541689,0.19900497512437812,0.11904761904761904,0.8267326732673267,0.47383354350567464,0.9230769230769231,0.3333333333333333,0.8495575221238938,0.35294117647058826,0.9784824462061155,0.9935602575896965
