configuration,fold,accuracy,balanced_accuracy,f1_macro,f1_weighted,mcc,kappa,recall_Normal,recall_Reconnaissance,recall_Backdoor,recall_DoS,recall_Exploits,recall_Analysis,recall_Fuzzers,recall_Worms,recall_Shellcode,recall_Generic
k-NN,1,0.7941115595570734,0.55082302279003,0.5434848217589869,0.8039836151272913,0.7405990231139268,0.7368046901366422,0.8788530465949821,0.6587225929456625,0.07428571428571429,0.7145187601957586,0.5895209580838323,0.13930348258706468,0.6826182618261826,0.15384615384615385,0.6371681415929203,0.9793931159420289
k-NN,2,0.8005795301666149,0.5607895028042735,0.5627325140159543,0.8098731946200204,0.7479282516037391,0.7447017126544826,0.8840143369175627,0.6663489037178265,0.07428571428571429,0.6949429037520392,0.6182634730538922,0.12935323383084577,0.6985698569856986,0.3076923076923077,0.5575221238938053,0.9769021739130435
k-NN,3,0.794835972265342,0.5555271437719898,0.5518818657971649,0.8052126318005476,0.7411622957236611,0.7375727535470685,0.8804301075268817,0.6701620591039085,0.09142857142857143,0.6933115823817292,0.5953878406708596,0.18,0.6833424958768554,0.23076923076923078,0.5526315789473685,0.9778079710144928
k-NN,4,0.7964917727413847,0.5438019006781378,0.5376607321198206,0.8059535839202993,0.7423098486095338,0.7394276589397387,0.879426523297491,0.661582459485224,0.09714285714285714,0.6691116544417278,0.6232404911650195,0.125,0.6811434854315558,0.15384615384615385,0.5701754385964912,0.9773499433748585
k-NN,5,0.7936458656731864,0.5472889589005842,0.5446159558649548,0.8031022530027413,0.7391635025105026,0.7358408499147804,0.8801433691756272,0.6301239275500476,0.08620689655172414,0.7017114914425427,0.6145552560646901,0.10945273631840796,0.6652006597031336,0.3076923076923077,0.5,0.9778029445073613
k-NN,6,0.7919793014230272,0.5464889292140531,0.5459468954686997,0.8020998816869472,0.7383019881462952,0.7343080575404071,0.8689605734767025,0.6444232602478551,0.05747126436781609,0.7294213528932355,0.6025756214435459,0.14925373134328357,0.680043980208906,0.15384615384615385,0.6017699115044248,0.977123442808607
k-NN,7,0.7941526520051746,0.5512386724715694,0.5404145543583068,0.803996096257756,0.7398724515870339,0.7366012287019021,0.8791397849462366,0.6453765490943756,0.06896551724137931,0.6886715566422168,0.6094639113507038,0.13432835820895522,0.6756459593183067,0.23076923076923078,0.6017699115044248,0.9782559456398641
k-NN,8,0.7941526520051746,0.5380244530406787,0.5333883618343622,0.8035494455016648,0.7400226370478954,0.7366460694886163,0.8761290322580645,0.6406101048617732,0.06285714285714286,0.7025264873675632,0.6190476190476191,0.10945273631840796,0.687018701870187,0.15384615384615385,0.5575221238938053,0.9712344280860702
k-NN,9,0.7957050452781371,0.5479278268440211,0.542002936586073,0.8045795715758542,0.7421120566382281,0.7384824955881255,0.8824372759856631,0.6596758817921831,0.05714285714285714,0.7185970636215334,0.5979041916167664,0.11940298507462686,0.6771177117711771,0.23076923076923078,0.5575221238938053,0.978708946772367
k-NN,10,0.793065976714101,0.5381830298929323,0.5343427891355043,0.8033016514940059,0.7394019871837093,0.7354474971936045,0.8821505376344086,0.674928503336511,0.08,0.7210440456769984,0.5847305389221557,0.11442786069651742,0.6732673267326733,0.15384615384615385,0.5221238938053098,0.9753114382785957
k-NN + SMOTE,1,0.7894028769533271,0.5846728367451867,0.5353055675849292,0.800352122506022,0.7366480661988725,0.7317744714820184,0.876415770609319,0.7311725452812202,0.06857142857142857,0.7430668841761827,0.5341317365269461,0.15422885572139303,0.676017601760176,0.38461538461538464,0.6991150442477876,0.9793931159420289
k-NN + SMOTE,2,0.7954051536789817,0.5910730341206654,0.5406133940667401,0.8057118089684283,0.7432587766214043,0.73897943495539,0.8830107526881721,0.7292659675881792,0.08,0.7251223491027733,0.5607784431137725,0.15920398009950248,0.6925192519251925,0.5384615384615384,0.5663716814159292,0.9759963768115942
k-NN + SMOTE,3,0.7889889268343164,0.5948203783084487,0.5420240774107998,0.8001301270638306,0.7355604883817175,0.7309917076735315,0.8779928315412187,0.7378455672068637,0.08571428571428572,0.7153344208809136,0.5387840670859538,0.215,0.6739967014843321,0.5384615384615384,0.5877192982456141,0.9773550724637681
k-NN + SMOTE,4,0.7921452964917728,0.5783230407441324,0.5362143295004846,0.8028048326235423,0.7386600821420527,0.734765212632805,0.8781362007168458,0.7368922783603432,0.09714285714285714,0.700081499592502,0.5651392632524708,0.145,0.6767454645409565,0.38461538461538464,0.6228070175438597,0.9766704416761042
k-NN + SMOTE,5,0.7887819517748111,0.5796136009508069,0.5308264272261112,0.7997053473308133,0.7348698842265884,0.7305780060416522,0.8779928315412187,0.6939942802669209,0.09195402298850575,0.7286063569682152,0.555256064690027,0.13930348258706468,0.6646509070918087,0.46153846153846156,0.6052631578947368,0.9775764439411099
k-NN + SMOTE,6,0.7848382923673998,0.5763781016222654,0.5337595270559599,0.7958903187872721,0.7313512080332778,0.7261176952073283,0.8675268817204301,0.7092469018112488,0.06896551724137931,0.7620211898940505,0.5375861036238395,0.16417910447761194,0.6646509070918087,0.38461538461538464,0.6283185840707964,0.9766704416761042
k-NN + SMOTE,7,0.7890815006468306,0.5739263113437405,0.5300571133022092,0.7998474661358769,0.735288833088014,0.7309218936819706,0.8797132616487455,0.7054337464251669,0.06896551724137931,0.7171964140179299,0.5486672656483977,0.16417910447761194,0.6734469488730072,0.38461538461538464,0.6194690265486725,0.9775764439411099
k-NN + SMOTE,8,0.7880465717981888,0.5806264954393091,0.530201670379548,0.7994647617993853,0.7341923956257501,0.7298981427671924,0.8738351254480287,0.7082936129647283,0.09714285714285714,0.7269763651181744,0.5573525007487271,0.13930348258706468,0.6776677667766776,0.46153846153846156,0.5929203539823009,0.9712344280860702
k-NN + SMOTE,9,0.7891332470892626,0.5775917892823809,0.5300533899537518,0.7999694697649642,0.7355786479679143,0.7309935456999751,0.8818637992831542,0.7111534795042898,0.06285714285714286,0.7275693311582382,0.5422155688622754,0.15920398009950248,0.6644664466446645,0.38461538461538464,0.6637168141592921,0.9782559456398641
k-NN + SMOTE,10,0.7883053040103493,0.5764591106221868,0.5302270012978741,0.7986025771992851,0.7352613571033549,0.7301548121486616,0.8815770609318997,0.7244995233555768,0.08,0.7544861337683524,0.5290419161676647,0.12935323383084577,0.6721672167216721,0.46153846153846156,0.5575221238938053,0.9744054360135901
