alpha,max_depth,min_samples_leaf,criterion,ccp_alpha,bal_mean,bal_std,f1_mean,f1_std,fit_seconds,predict_seconds
0.75,13.0,2,entropy,1e-05,0.6356758222353359,0.018737250466666286,0.5585094581477575,0.008845042139248985,1.4164506017999883,0.017944782599897735
0.75,13.0,2,entropy,1e-06,0.6356020940611085,0.01885968173426661,0.5584641205821084,0.008925949831519507,1.4475687518000087,0.021021872999881452
0.75,13.0,2,entropy,0.0,0.6356020940611085,0.01885968173426661,0.5584641205821084,0.008925949831519507,1.265329309399931,0.01883135139996739
0.625,13.0,2,entropy,1e-05,0.6239318164693335,0.016814777614010956,0.5584628403697239,0.007676925455545057,1.3630023407999943,0.018352278199972715
0.625,13.0,2,entropy,0.0,0.6239562623126315,0.016885018684983762,0.5584553603252578,0.007722367642541491,1.2677402458000415,0.01866795639994052
0.625,13.0,2,entropy,1e-06,0.6239562623126315,0.016885018684983762,0.5584553603252578,0.007722367642541491,1.3442243301999952,0.017009333399983007
0.625,18.0,2,entropy,1e-05,0.5937095418654279,0.017423790188722636,0.5576806083777439,0.016203270941594083,1.4808252726000775,0.02026789460001055
0.625,18.0,2,entropy,0.0,0.5934721032642168,0.0174929713310671,0.5574522993881459,0.016244482556520973,1.3350300395999966,0.017802149800036204
0.625,18.0,2,entropy,1e-06,0.5934785836900358,0.01750578300450188,0.557446922698782,0.016233016480066965,1.4055981804000113,0.0173189574000844
0.75,18.0,2,entropy,1e-05,0.591770908978253,0.012550382816253206,0.556583143470806,0.016519189054660044,1.4667812002000573,0.01783280419995208
0.75,18.0,2,entropy,0.0,0.5916792922659719,0.012679477728575325,0.5564546643716042,0.016616800966462578,1.3900966810000681,0.017160771199905868
0.75,18.0,2,entropy,1e-06,0.5916749911907031,0.012680709247430557,0.5564480590050724,0.01662574488280026,1.551893284400012,0.01904128359992683
0.625,18.0,1,gini,1e-05,0.5790925752133411,0.006835448766509557,0.5555449145677432,0.0066861685994407906,0.8681955236000249,0.017275403400026333
0.625,18.0,1,gini,1e-06,0.5788808826270303,0.006938344611028143,0.5553009314501571,0.006736191634678953,0.8564617463999639,0.017482204399993862
0.625,18.0,1,gini,0.0,0.5788319230187072,0.006873521184415944,0.555269007690743,0.006747675764529685,0.8725079983999876,0.01893633900003806
0.625,18.0,2,gini,1e-05,0.5931013961548158,0.01194331888519499,0.5551779495332465,0.012255917952008654,0.9704867702000228,0.018192322400000193
0.625,18.0,2,gini,1e-06,0.5928199814760818,0.012027866168964526,0.5549294637242415,0.012262641774330243,0.9285152819999893,0.019540807600014885
0.625,18.0,2,gini,0.0,0.5927710218677587,0.01202722065702673,0.5548978696618645,0.012280289292370001,0.9499066981999931,0.018542478799963645
0.625,13.0,1,entropy,1e-05,0.6130492699664718,0.014181249038023121,0.5542098859333664,0.010129663103409764,1.2678827927999918,0.01726611459994274
0.625,13.0,1,entropy,1e-06,0.6130647310838038,0.014247040479360191,0.5541903165551202,0.010206851237188444,1.2863358900000548,0.017180438000059438
0.625,13.0,1,entropy,0.0,0.6130647310838038,0.014247040479360191,0.5541903165551202,0.010206851237188444,1.3152364333999231,0.019735053600015817
0.75,13.0,1,entropy,1e-05,0.6235319136244206,0.015107263609138033,0.5540450845915001,0.0064953425237448265,1.2642113145999248,0.016566207200048665
0.75,13.0,1,entropy,1e-06,0.6235383980846921,0.015136809137683253,0.5540382938671847,0.006494425841210469,1.2996990049999113,0.018683736999901158
0.75,13.0,1,entropy,0.0,0.6235383980846921,0.015136809137683253,0.5540382938671847,0.006494425841210469,1.331287962999977,0.017622878800102625
0.75,18.0,2,gini,1e-05,0.5943148457380245,0.005794440303750528,0.5535997675968207,0.009567049627296435,0.8547066740001356,0.016353985800014924
0.75,18.0,2,gini,1e-06,0.5942084449913135,0.005608200273859883,0.553372668390167,0.009517089134568908,0.8424787373999607,0.016273587200066685
0.75,18.0,2,gini,0.0,0.5942034962438416,0.005614885729168468,0.5533350850405913,0.009456063206719297,0.8580627467999875,0.0160751846000494
0.75,13.0,2,gini,1e-05,0.6282479153008337,0.008692073764048088,0.5533038067387345,0.010844841659843708,0.7702569268000843,0.016214590200161184
0.75,13.0,2,gini,0.0,0.6282281924986051,0.00874353110067721,0.5532870074045144,0.010855522513610084,0.7456777617999251,0.0156145967998782
0.75,13.0,2,gini,1e-06,0.6282281924986051,0.00874353110067721,0.5532870074045144,0.010855522513610084,0.7871752071999254,0.01627458539996951
0.875,18.0,5,entropy,1e-05,0.626388139642013,0.01755312398439453,0.553125530067929,0.013558518323538129,1.345923154600132,0.01828272819993799
0.875,18.0,5,entropy,0.0,0.6262040339600247,0.017447135796742404,0.5530242470513673,0.013429847941305938,1.3405762158000472,0.01821513459999551
0.875,18.0,5,entropy,1e-06,0.6262040339600247,0.017447135796742404,0.5530242470513673,0.013429847941305938,1.3115157987999737,0.01729973900000914
0.875,18.0,5,gini,1e-05,0.6216476656234947,0.027315676211741365,0.5523262829089386,0.022811582585348062,0.8739537218000806,0.017481077200045547
0.875,18.0,5,gini,0.0,0.6212981400791168,0.027348254269231213,0.5522121705194406,0.022828556147979275,0.8412401973999295,0.018732312600059232
0.875,18.0,5,gini,1e-06,0.6212891553531509,0.027347138557999008,0.5521839574407357,0.022834533900285135,0.8735434760000317,0.017856189400026777
0.625,18.0,5,gini,1e-05,0.6153710280306958,0.01967209071842752,0.5521061554875926,0.012310239043366807,0.9297316411999873,0.02067295019996891
0.625,18.0,5,gini,0.0,0.6152912212078929,0.019553550450228583,0.5520208434998037,0.012264794324125033,0.9751277319999645,0.018855236599983984
0.625,18.0,5,gini,1e-06,0.615282236481927,0.01956259979985172,0.5520096033356356,0.012276208522623079,0.9780886726000517,0.019103741000026275
0.75,13.0,5,entropy,1e-05,0.6434914148130682,0.02176013451393338,0.5516926718067382,0.012262002923008485,1.242089962800128,0.016063298799963377
0.75,13.0,5,entropy,0.0,0.6434422509392861,0.021735957489450237,0.5516420569751948,0.012212291833356603,1.2239408446000197,0.016207280199978413
0.75,13.0,5,entropy,1e-06,0.6434422509392861,0.021735957489450237,0.5516420569751948,0.012212291833356603,1.2700923575998786,0.017414786399876904
0.625,13.0,1,gini,1e-05,0.6199196255275126,0.018264150538752147,0.5513438797444288,0.0179134487657367,0.7806899512000655,0.015934020199983932
0.875,18.0,2,gini,1e-05,0.5965642434789501,0.01915214134412937,0.5512033567451862,0.017566957777624896,0.889974780600005,0.01705945799994879
0.625,13.0,1,gini,1e-06,0.6197688822136098,0.01819081591504473,0.5511805291827974,0.017777202872472146,0.8284816121999938,0.017929978599977404
0.625,13.0,1,gini,0.0,0.6197688822136098,0.01819081591504473,0.5511805291827974,0.017777202872472146,0.8198897210000269,0.0216968086000179
0.625,13.0,2,gini,1e-05,0.6227830987385022,0.021488599819139316,0.5510761747014487,0.018813772194402698,0.8025532329999805,0.01717230439994637
0.875,18.0,2,gini,0.0,0.5964771607847446,0.01920327688913144,0.551061460535218,0.017707988307943845,0.880823467799928,0.017638976399939565
0.875,18.0,2,gini,1e-06,0.5964192463768665,0.019165815439007406,0.551017129230734,0.017686174861703804,0.866444613600106,0.019286411800112545
0.625,13.0,2,gini,1e-06,0.6226414395999627,0.021391694404329226,0.5509035173501795,0.018663376715590218,0.8245862882000893,0.018245646399964243
0.625,13.0,2,gini,0.0,0.6226414395999627,0.021391694404329226,0.5509035173501795,0.018663376715590218,0.9092141932000686,0.01946915019998414
0.75,18.0,1,gini,1e-05,0.5821212412816592,0.009959107295502012,0.5506024640988219,0.006918113563366917,0.9694394682001075,0.016556741000113107
0.625,18.0,1,entropy,1e-05,0.5709113864717298,0.016575027206293294,0.5505943640551699,0.014170715356707489,1.3709262204000425,0.016947672200012677
0.625,18.0,1,entropy,1e-06,0.570746623939609,0.01662631368607876,0.5503793541655153,0.014182079678681823,1.4496527364000484,0.01748345339997286
0.625,18.0,1,entropy,0.0,0.5706911839054669,0.01668617865398557,0.5503512247754566,0.0142387862769465,1.4830063908000284,0.018634585600011633
0.75,18.0,1,gini,1e-06,0.5817149311179588,0.009664222725375366,0.5502564040002427,0.006768860617101057,1.0090504804000375,0.01871066300000166
0.75,18.0,1,gini,0.0,0.5816855025663253,0.009732315131383848,0.5502025675755527,0.006816258112966875,0.9569907739998598,0.020049213799848076
0.75,18.0,5,entropy,1e-05,0.618280358547384,0.0181704387078498,0.5501514941129706,0.016220279464341444,1.3363951384000756,0.01607780599997568
0.625,18.0,5,entropy,1e-05,0.608535970738413,0.015889845080589448,0.5500809720909237,0.016466560160251834,1.5885103453999818,0.020136689999981174
0.75,18.0,5,entropy,1e-06,0.6181135342821982,0.018224378226185625,0.5499847228361963,0.016267989588890787,1.3382709757998783,0.0176217700000052
0.75,18.0,5,entropy,0.0,0.6181135342821982,0.018224378226185625,0.5499842483252834,0.016267251421447675,1.3634241171998838,0.017890872200041485
0.625,18.0,5,entropy,1e-06,0.6081869066287371,0.016204014484671847,0.5497162075173317,0.016647062326807942,1.555763299399996,0.018825461999949767
0.625,18.0,5,entropy,0.0,0.6081714414769523,0.016183564973236305,0.5497104068809813,0.01663675347161462,1.6300154114000178,0.018471921600030326
0.625,13.0,5,entropy,1e-05,0.6327486930249332,0.01896327854477022,0.5492282236062069,0.016010206838281225,1.2640158789999532,0.01540965359999973
0.625,13.0,5,entropy,0.0,0.6327630729503795,0.019045961199873486,0.5491944846426249,0.016088379642682588,1.2743062769999596,0.016181634199983818
