k,weights,metric,bal_mean,bal_std,f1_mean,f1_std,fit_seconds,predict_seconds
5,distance,manhattan,0.48864966977024293,0.009169423217421787,0.5028192965526431,0.013246842146506996,0.46071549860016603,24.118815107400042
4,distance,manhattan,0.4908068292992705,0.005077844563122645,0.5023072547346477,0.006758723644265702,0.4800633817999369,31.2303864307999
7,distance,manhattan,0.4876273294169972,0.012205048082345616,0.5021167089585108,0.016594319598494913,0.46742676380008563,24.09072010760001
9,distance,manhattan,0.483389044461297,0.010864563287029493,0.49520724013439743,0.01456915005568104,0.4676183299999138,24.241992569999912
3,distance,manhattan,0.4846465760692233,0.010219003589496293,0.49259889297395587,0.010456192992210315,0.5271862248000616,45.89799471640008
5,uniform,manhattan,0.4750541167008805,0.011361390055333397,0.4913505118261757,0.018439593213436335,0.46111983339988,24.13165281120009
2,distance,manhattan,0.49223206593547164,0.013652236234107561,0.4907245962385094,0.013026115246892256,0.48647726640001565,45.79863783320002
1,uniform,manhattan,0.4881923718703394,0.011497670215348203,0.4904214549486411,0.011091153182926224,0.6404337286000554,45.991134432800024
1,distance,manhattan,0.4881923718703394,0.011497670215348203,0.4904214549486411,0.011091153182926224,0.49527726200003597,45.73251152599996
9,uniform,manhattan,0.472164899947299,0.007690271315420468,0.4860573569756915,0.009971247138022402,0.47155795740009127,24.536201556200105
7,uniform,manhattan,0.4711123313932185,0.0053796263358265005,0.48463603024448487,0.007763259223769647,0.4727031513998554,24.036007830200013
3,uniform,manhattan,0.4696869287193547,0.005352690885914115,0.4815813305260014,0.006992467394407664,0.497191465600099,44.69930910640005
4,uniform,manhattan,0.46708295966743824,0.0086958320691669,0.48018162389054864,0.015228080770362324,0.5298091765999743,45.689740560399876
2,uniform,manhattan,0.44662387835638107,0.010325389594613639,0.4526202742061175,0.012893427191771292,0.5173890179999944,46.233150208999994
