k,weights,metric,bal_mean,bal_std,f1_mean,f1_std,fit_seconds,predict_seconds
5,distance,manhattan,0.4283575756226445,0.008987849796280261,0.4405945529328653,0.011975791466242633,0.29085531259997877,9.49412766520004
1,uniform,manhattan,0.426408416848097,0.007547115446419242,0.4259041664342555,0.008014630454010034,0.29679559119995247,9.339462857400076
1,distance,manhattan,0.426408416848097,0.007547115446419242,0.4259041664342555,0.008014630454010034,0.28767994660001933,9.238396887599947
7,distance,manhattan,0.4259078655525528,0.009238958656110244,0.4408247209967443,0.014224232452769324,0.2867833642000278,9.349862385799906
9,distance,manhattan,0.4252614961695387,0.006759441310147152,0.44074096127255596,0.010636480456782185,0.28071222579997085,9.270981129399933
3,distance,manhattan,0.424776681344572,0.008943789060893893,0.42792162687659613,0.009556018384958448,0.28090349680001053,9.392087001600022
5,uniform,manhattan,0.41762708059043174,0.010201937457472925,0.43123025571463536,0.013102874196670009,0.28775122239994744,9.400103643000056
11,distance,manhattan,0.4165605534392248,0.007721697131963552,0.4291769765605684,0.010279872002935495,0.28511680379997417,9.50659970899992
3,distance,euclidean,0.4155163656775963,0.0076656399844240684,0.4201843655187643,0.00867154070272005,0.29282745639989116,1.5371303025999623
5,distance,euclidean,0.4151528444050288,0.007045493548961606,0.42609901988494625,0.009674853064519116,0.290066045399999,1.5287006838000252
15,distance,manhattan,0.4151324244153144,0.006758587725286536,0.42865349040319145,0.009379779318910667,0.2880129907999617,9.45249588839988
21,distance,manhattan,0.4119436739199882,0.0057863804442984,0.4262225252356993,0.007804870809978807,0.29080288699997253,9.311107153600096
1,uniform,euclidean,0.41159308238798165,0.0062594920795826375,0.4121257249479564,0.006261656507932984,0.30713500439997005,1.6022562780000498
1,distance,euclidean,0.41159308238798165,0.0062594920795826375,0.4121257249479564,0.006261656507932984,0.2904631798000537,1.522735475599984
7,distance,euclidean,0.4112030188466747,0.005837270779988309,0.42371589014266925,0.008333999765354542,0.2883933299999626,1.5271442171999752
7,uniform,manhattan,0.4102934295726078,0.008333186327688561,0.4221696354441876,0.011835184813074487,0.30064649059995646,10.040745861999904
9,distance,euclidean,0.41014204257591674,0.00716208185616472,0.42337424220399766,0.009357097371790715,0.28154071320000185,1.5228587504000644
3,uniform,manhattan,0.40938512297574625,0.012894483878048917,0.4194637146256313,0.01797176023574469,0.29865691959998913,9.539167076199965
31,distance,manhattan,0.4091825304444733,0.005904924638870022,0.4241876106831384,0.008928185614875735,0.29126456700005293,9.495392827999968
9,uniform,manhattan,0.40759478494472745,0.008114099128831915,0.419323088324531,0.011808000133899965,0.28516509879996194,9.242357852799932
11,distance,euclidean,0.4063358139619496,0.005761431871707313,0.4201175680904674,0.007855608494040881,0.2884920213999521,1.555673613999943
15,distance,euclidean,0.4060790461873022,0.005434751948616659,0.4209494743988283,0.00823665053076461,0.2900589359999685,1.5532224893999227
11,uniform,manhattan,0.40600891211243734,0.008224009235413339,0.4180179149131583,0.01118621984374144,0.30162283940003365,9.488356096400093
51,distance,manhattan,0.40394499626570424,0.009083393543263455,0.4204616502572581,0.013145162041382245,0.2788167684000655,9.569889010599946
15,uniform,manhattan,0.40384428610575196,0.00746907565736211,0.4158386890799573,0.010097446434686637,0.29015785780011355,9.35106756179989
21,distance,euclidean,0.40364900747163723,0.005694757660272298,0.41986367061754226,0.007722629208558483,0.28459779919994616,1.583135592600047
5,uniform,euclidean,0.40210775260964937,0.006913914048087044,0.4142622850885497,0.009144262532999527,0.2875051394000366,1.5784934125999825
31,distance,euclidean,0.39968630330320953,0.004179154888347273,0.4169394222922846,0.006304710325082257,0.2889107808000517,1.666298229200038
3,uniform,euclidean,0.3996698155022667,0.009791141276430992,0.41114255867362715,0.015881911371487416,0.2927694900000006,1.5417345857998952
7,uniform,euclidean,0.3986832827993095,0.006225601354864216,0.41049928379474226,0.009571285975054595,0.29778533419994346,1.5893209987999852
21,uniform,manhattan,0.397539112806138,0.006019509381554642,0.40885972349663086,0.007948392191300396,0.28063621679993955,9.310290941600124
9,uniform,euclidean,0.3963173149010727,0.004764103081331688,0.4079815492113803,0.008056501747223603,0.28881340500006447,1.529310586199972
11,uniform,euclidean,0.39421340279021655,0.0055494358472653795,0.40688769901154365,0.008661738443443086,0.2796098521999738,1.5365908740000123
15,uniform,euclidean,0.3938021703110177,0.0054967812312608205,0.40704331366445323,0.008087497250852697,0.31450944739999614,1.6345138038000186
31,uniform,manhattan,0.3934961965645232,0.006982296527873542,0.40443434881853496,0.009391987745668014,0.28491820680001184,9.418314199199994
51,distance,euclidean,0.3915234429462145,0.0059422751004375735,0.40994437636977377,0.008869177213536904,0.27214317319994735,1.7452427302000615
21,uniform,euclidean,0.3881024344716792,0.006202768065731365,0.40100831823762384,0.007742856318817424,0.28131686099986836,1.5895758202000252
51,uniform,manhattan,0.3860492829751222,0.006963673427347934,0.3977272525515945,0.009879105744419798,0.2913086389999989,9.497333393200188
31,uniform,euclidean,0.3839251633950925,0.0035099797337252796,0.39744084388235584,0.004632115627151006,0.28759859880001387,1.609738386400022
51,uniform,euclidean,0.371626962775213,0.006132808871805076,0.3851582901240373,0.007961778371309212,0.28414058240005036,1.7091323491999901
