,Normal,Reconnaissance,Backdoor,DoS,Exploits,Analysis,Fuzzers,Worms,Shellcode,Generic
Normal,61322,203,1,234,977,280,6539,3,150,41
Reconnaissance,169,6873,10,1524,1754,0,112,3,43,2
Backdoor,8,13,131,1247,236,73,25,0,13,1
DoS,54,34,92,8627,3046,125,134,10,93,50
Exploits,281,57,132,11562,20219,205,526,77,197,138
Analysis,152,0,75,1299,200,263,19,0,0,0
Fuzzers,2986,127,91,1655,624,153,12373,10,121,45
Worms,2,0,0,5,87,0,4,27,3,2
Shellcode,54,139,0,74,112,0,101,1,641,11
Generic,21,8,4,341,544,2,72,4,20,43137
