,Normal,Reconnaissance,Backdoor,DoS,Exploits,Analysis,Fuzzers,Worms,Shellcode,Generic
Normal,61227,357,6,326,620,656,6279,16,232,31
Reconnaissance,67,7540,10,1524,1184,0,51,62,50,2
Backdoor,6,33,140,1243,220,19,65,5,14,2
DoS,53,83,25,8954,2607,69,241,64,124,45
Exploits,348,451,90,12299,18263,195,687,654,283,124
Analysis,103,0,10,1314,201,315,65,0,0,0
Fuzzers,3062,236,36,1707,579,69,12250,31,183,32
Worms,2,0,0,7,54,0,4,57,4,2
Shellcode,43,163,6,73,61,0,72,8,696,11
Generic,25,18,7,386,472,3,77,23,26,43116
