,Normal,Reconnaissance,Backdoor,DoS,Exploits,Analysis,Fuzzers,Worms,Shellcode,Generic
Normal,58301,66,8,128,780,617,9680,21,137,12
Reconnaissance,146,7409,24,1638,1134,7,83,5,42,2
Backdoor,2,8,328,1186,71,116,17,2,15,2
DoS,78,31,259,9921,1544,127,127,25,134,19
Exploits,322,252,508,12212,18735,260,549,232,254,70
Analysis,174,0,206,1240,55,331,2,0,0,0
Fuzzers,3132,25,420,1498,322,190,12386,42,161,9
Worms,0,0,1,6,39,0,5,77,1,1
Shellcode,61,13,2,39,105,0,113,12,786,2
Generic,24,4,13,432,400,3,65,58,21,43133
