configuration,fold,precision_macro,recall_macro,train_accuracy,train_balanced_accuracy,predict_seconds
tree,1,0.6323719594704565,0.6627338380070144,0.7988,0.6955357813467729,4.0958384760000115
tree,2,0.6335351024640008,0.6558989581248964,0.794,0.7039872219127286,3.6931214100000034
tree,3,0.6240362668604934,0.6513928059716804,0.7824,0.7016134343777709,3.5729107910000266
tree,4,0.6160250662486224,0.6667184205875254,0.7891,0.6927515896860799,3.8700227239999947
tree,5,0.5969111831502757,0.6144013728652786,0.801,0.6966907035335994,3.6237177470000006
tree,6,0.6134261419664623,0.6518737721368335,0.7911,0.7036470625165523,3.7926931110000055
tree,7,0.6150938267719478,0.6659652583403552,0.7938,0.6929734343210259,3.7750216290000083
tree,8,0.6356673337282341,0.6527438230814134,0.8004,0.6915998584507043,3.8645126929999947
tree,9,0.6168304777293829,0.6418222345559238,0.7899,0.6939494258861316,3.747268560000009
tree,10,0.6044480711517269,0.6525723617487122,0.7897,0.7039077466220942,3.965208163999989
tree + SMOTE,1,0.5683967724555652,0.6103319574029691,0.7917,0.6715076834970691,8.085831248000005
tree + SMOTE,2,0.5778206612445688,0.6250317331316602,0.7952,0.6551217122063953,7.797112393999981
tree + SMOTE,3,0.5698333973416544,0.6164162322538088,0.7893,0.6769848959084193,8.256199880999986
tree + SMOTE,4,0.5605353055674004,0.6347806430043079,0.7925,0.6266385497149365,8.469749528000023
tree + SMOTE,5,0.5539966218708446,0.5978482562776843,0.7872,0.6431915845376336,8.380641862000004
tree + SMOTE,6,0.5695211164600658,0.6309580136772868,0.7977,0.6495288965383168,8.486975178999955
tree + SMOTE,7,0.5675392389946142,0.6380450442104108,0.7908,0.6612879429964903,8.258107314000029
tree + SMOTE,8,0.5655853583832926,0.6523251981689755,0.7981,0.6814386721548301,8.36165024600001
tree + SMOTE,9,0.5592512662025733,0.6129998485880737,0.7962,0.6579830245916816,8.057292437000001
tree + SMOTE,10,0.5662879376922356,0.5899555516361308,0.7851,0.6510137117566528,8.192769701999964
k-NN,1,0.5726992578137694,0.55082302279003,0.9014,0.7736824834913595,98.38644471200001
k-NN + SMOTE,1,0.5606149709910004,0.5846728367451867,0.9016,0.7586349987659335,138.759084593
